Algoritmo,Abordagem,-10 dB,0 dB,10 dB,20 dB,30 dB
KNN,Sem beamforming,0.685 ± 0.024,0.793 ± 0.022,0.833 ± 0.011,0.888 ± 0.009,0.857 ± 0.013
KNN,Delay Sum,0.685 ± 0.024,0.839 ± 0.019,0.848 ± 0.015,0.881 ± 0.019,0.866 ± 0.007
KNN,GSC,0.680 ± 0.010,0.786 ± 0.015,0.842 ± 0.012,0.883 ± 0.011,0.856 ± 0.017
Perceptron,Sem beamforming,0.582 ± 0.052,0.665 ± 0.060,0.72 ± 0.024,0.768 ± 0.022,0.693 ± 0.025
Perceptron,Delay Sum,0.582 ± 0.052,0.657 ± 0.082,0.708 ± 0.054,0.76 ± 0.022,0.761 ± 0.032
Perceptron,GSC,0.551 ± 0.052,0.630 ± 0.074,0.670 ± 0.044,0.736 ± 0.043,0.752 ± 0.040
SGD,Sem beamforming,0.627 ± 0.016,0.723 ± 0.010,0.750 ± 0.017,0.808 ± 0.013,0.748 ± 0.020
SGD,Delay Sum,0.627 ± 0.016,0.728 ± 0.016,0.722 ± 0.013,0.820 ± 0.009,0.808 ± 0.012
SGD,GSC,0.615 ± 0.009,0.669 ± 0.013,0.694 ± 0.018,0.806 ± 0.018,0.811 ± 0.010
LDA,Sem beamforming,0.572 ± 0.017,0.637 ± 0.006,0.671 ± 0.004,0.770 ± 0.008,0.744 ± 0.011
LDA,Delay Sum,0.572 ± 0.017,0.670 ± 0.007,0.710 ± 0.013,0.770 ± 0.011,0.8 ± 0.011
LDA,GSC,0.580 ± 0.011,0.654 ± 0.014,0.672 ± 0.011,0.758 ± 0.008,0.794 ± 0.008
SVM,Sem beamforming,0.603 ± 0.024,0.784 ± 0.012,0.844 ± 0.008,0.843 ± 0.007,0.824 ± 0.009
SVM,Delay Sum,0.603 ± 0.024,0.836 ± 0.015,0.838 ± 0.007,0.861 ± 0.007,0.866 ± 0.006
SVM,GSC,0.557 ± 0.016,0.827 ± 0.009,0.839 ± 0.012,0.852 ± 0.011,0.862 ± 0.006
