Algoritmo,Abordagem,-10 dB,0 dB,10 dB,20 dB,30 dB
KNN,Sem beamforming,0.697 ± 0.018,0.796 ± 0.014,0.847 ± 0.019,0.840 ± 0.011,0.840 ± 0.007
KNN,Delay Sum,0.769 ± 0.016,0.820 ± 0.007,0.836 ± 0.009,0.840 ± 0.011,0.849 ± 0.003
KNN,GSC,0.750 ± 0.018,0.822 ± 0.004,0.838 ± 0.019,0.855 ± 0.015,0.838 ± 0.006
Perceptron,Sem beamforming,0.582 ± 0.058,0.710 ± 0.029,0.744 ± 0.037,0.754 ± 0.015,0.676 ± 0.073
Perceptron,Delay Sum,0.659 ± 0.055,0.740 ± 0.018,0.763 ± 0.035,0.771 ± 0.046,0.769 ± 0.058
Perceptron,GSC,0.649 ± 0.050,0.735 ± 0.025,0.769 ± 0.029,0.76 ± 0.058,0.767 ± 0.064
SGD,Sem beamforming,0.714 ± 0.023,0.754 ± 0.016,0.796 ± 0.009,0.819 ± 0.008,0.767 ± 0.029
SGD,Delay Sum,0.708 ± 0.012,0.784 ± 0.011,0.824 ± 0.015,0.853 ± 0.007,0.824 ± 0.012
SGD,GSC,0.72 ± 0.007,0.775 ± 0.011,0.830 ± 0.007,0.841 ± 0.009,0.824 ± 0.012
LDA,Sem beamforming,0.622 ± 0.011,0.697 ± 0.013,0.739 ± 0.011,0.786 ± 0.012,0.744 ± 0.007
LDA,Delay Sum,0.645 ± 0.011,0.716 ± 0.018,0.731 ± 0.016,0.767 ± 0.009,0.777 ± 0.007
LDA,GSC,0.64 ± 0.007,0.704 ± 0.010,0.723 ± 0.008,0.777 ± 0.007,0.775 ± 0.004
SVM,Sem beamforming,0.775 ± 0.014,0.775 ± 0.012,0.843 ± 0.004,0.840 ± 0.007,0.803 ± 0.004
SVM,Delay Sum,0.819 ± 0.013,0.828 ± 0.008,0.847 ± 0.010,0.855 ± 0.013,0.849 ± 0.007
SVM,GSC,0.817 ± 0.012,0.824 ± 0.009,0.845 ± 0.011,0.860 ± 0.015,0.853 ± 0.007
Tree,Sem beamforming,0.651 ± 0.031,0.754 ± 0.026,0.798 ± 0.037,0.742 ± 0.045,0.668 ± 0.013
Tree,Delay Sum,0.657 ± 0.028,0.775 ± 0.034,0.819 ± 0.044,0.822 ± 0.026,0.796 ± 0.029
Tree,GSC,0.662 ± 0.037,0.779 ± 0.044,0.819 ± 0.026,0.826 ± 0.016,0.798 ± 0.033
QDA,Sem beamforming,0.392 ± 0.003,0.660 ± 0.009,0.672 ± 0.009,0.615 ± 0.009,0.535 ± 0.011
QDA,Delay Sum,0.428 ± 0.010,0.685 ± 0.006,0.803 ± 0.009,0.758 ± 0.004,0.754 ± 0.007
QDA,GSC,0.409 ± 0.010,0.678 ± 0.003,0.798 ± 0.007,0.763 ± 0.003,0.737 ± 0.009
