SNR,Tempo médio para processar o GSC em cada arquivo
30,1.06711904889061
29,0.99112598101298
28,1.07233743440537
27,1.01121812320891
26,0.930574417114258
25,1.08140317598979
24,1.20655819120861
23,1.20571393512544
22,1.22543881507147
21,1.31279563676743
20,1.4281399227324
19,1.42516983804249
18,1.29728896958487
17,1.21682863008408
16,1.49783837681725
15,1.75462706656683
14,1.74864350954692
13,2.59593333062671
12,1.97174624261402
11,2.24968958355132
10,2.9470297404698
9,3.1757535026187
8,4.19211490267799
7,3.38027418908619
6,3.84406228519621
5,4.68676564806984
4,4.99352460815793
3,5.56774461837042
2,4.42705554735093
1,6.41316040584019
0,7.3518137046269
-1,5.87039610317775
-2,3.32902748244149
-3,4.86833659807841
-4,4.49353977385021
-5,5.15369582176209
-6,4.94835753213792
-7,7.10751119568234
-8,6.07845882461185
-9,4.27016203971136
-10,4.98527094750177
