Algoritmo,Abordagem,-10 dB,0 dB,10 dB,20 dB,30 dB
KNN,Sem beamforming,0.605 ± 0.021,0.649 ± 0.033,0.710 ± 0.016,0.784 ± 0.017,0.828 ± 0.012
KNN,Delay Sum,0.607 ± 0.020,0.691 ± 0.025,0.761 ± 0.012,0.851 ± 0.021,0.878 ± 0.007
KNN,GSC,0.619 ± 0.013,0.695 ± 0.015,0.754 ± 0.018,0.855 ± 0.019,0.868 ± 0.013
Perceptron,Sem beamforming,0.657 ± 0.024,0.723 ± 0.026,0.733 ± 0.017,0.771 ± 0.036,0.691 ± 0.045
Perceptron,Delay Sum,0.655 ± 0.036,0.735 ± 0.016,0.792 ± 0.025,0.801 ± 0.023,0.819 ± 0.032
Perceptron,GSC,0.670 ± 0.046,0.746 ± 0.009,0.784 ± 0.019,0.807 ± 0.029,0.815 ± 0.025
SGD,Sem beamforming,0.529 ± 0.017,0.607 ± 0.015,0.653 ± 0.021,0.723 ± 0.019,0.699 ± 0.030
SGD,Delay Sum,0.565 ± 0.018,0.641 ± 0.017,0.731 ± 0.020,0.807 ± 0.015,0.822 ± 0.004
SGD,GSC,0.577 ± 0.017,0.634 ± 0.009,0.737 ± 0.024,0.817 ± 0.012,0.817 ± 0.007
LDA,Sem beamforming,0.542 ± 0.034,0.670 ± 0.018,0.721 ± 0.026,0.72 ± 0.017,0.702 ± 0.007
LDA,Delay Sum,0.580 ± 0.015,0.681 ± 0.009,0.744 ± 0.021,0.788 ± 0.003,0.809 ± 0.017
LDA,GSC,0.598 ± 0.033,0.687 ± 0.019,0.758 ± 0.017,0.782 ± 0.018,0.811 ± 0.003
SVM,Sem beamforming,0.548 ± 0.014,0.700 ± 0.024,0.773 ± 0.016,0.820 ± 0.011,0.811 ± 0.009
SVM,Delay Sum,0.561 ± 0.022,0.733 ± 0.024,0.803 ± 0.007,0.859 ± 0.018,0.851 ± 0.009
SVM,GSC,0.563 ± 0.011,0.740 ± 0.022,0.803 ± 0.019,0.859 ± 0.016,0.847 ± 0.012
Tree,Sem beamforming,0.552 ± 0.074,0.613 ± 0.056,0.704 ± 0.019,0.729 ± 0.039,0.679 ± 0.041
Tree,Delay Sum,0.601 ± 0.033,0.687 ± 0.041,0.786 ± 0.034,0.790 ± 0.033,0.811 ± 0.003
Tree,GSC,0.619 ± 0.036,0.685 ± 0.043,0.786 ± 0.036,0.796 ± 0.023,0.815 ± 0.018
QDA,Sem beamforming,0.380 ± 0.023,0.659 ± 0.030,0.601 ± 0.007,0.592 ± 0.023,0.554 ± 0.019
QDA,Delay Sum,0.403 ± 0.038,0.659 ± 0.022,0.687 ± 0.016,0.678 ± 0.009,0.687 ± 0.052
QDA,GSC,0.4 ± 0.037,0.659 ± 0.025,0.68 ± 0.014,0.687 ± 0.028,0.697 ± 0.043
